id,cast-1,cast-2,cast-3,cast-4,cinematographer-1,cinematographer-2,cinematographer-3,cinematographer-4,costume department-1,costume department-2,costume department-3,costume department-4,director-1,director-2,director-3,director-4,editor-1,editor-2,editor-3,editor-4,genres-1,genres-2,genres-3,genres-4,language-1,language-2,language-3,language-4,rating,producer-1,producer-2,producer-3,producer-4,writer-1,writer-2,writer-3,writer-4,distributor-1,distributor-2,distributor-3,distributor-4
0088847,Emilio Estevez,Paul Gleason,Anthony Michael Hall,John Kapelos,Thomas Del Ruth,null,null,null,Phyllis Corcoran-Woods,Eddie Marks,Christine Zamiara,null,John Hughes,null,null,null,Dede Allen,null,null,null,Comedy,Drama,null,null,English,null,null,null,7.9,Gil Friesen,John Hughes,Michelle Manning,Andrew Meyer,John Hughes,null,null,null,Universal Pictures,BY Experience,Fathom Events,United International Pictures (UIP)
0075612,Shelley Duvall,Sissy Spacek,Janice Rule,Robert Fortier,Charles Rosher Jr.,null,null,null,Jules Melillo,null,null,null,Robert Altman,null,null,null,Dennis M. Hill,null,null,null,Drama,null,null,null,English,null,null,null,7.9,Robert Altman,Scott Bushnell,Robert Eggenweiler,null,Robert Altman,Patricia Resnick,null,null,Twentieth Century Fox Film Corporation,"Criterion Collection, The","Criterion Collection, The",null
0107653,David Thewlis,Lesley Sharp,Katrin Cartlidge,Greg Cruttwell,Dick Pope,null,null,null,Sharon Long,Debbie Scott,null,null,Mike Leigh,null,null,null,Jon Gregory,null,null,null,Comedy,Drama,null,null,English,null,null,null,7.9,Simon Channing Williams,null,null,null,Mike Leigh,null,null,null,First Independent Films,Only Hearts Company,Pyramide Distribution,Warner Bros. Finland
0181875,Billy Crudup,Frances McDormand,Kate Hudson,Jason Lee,John Toll,null,null,null,Alice S. Awad,Betty Besio,Melissa Binder,Lisa Buchignani,Cameron Crowe,null,null,null,Joe Hutshing,Saar Klein,null,null,Adventure,Drama,Music,Romance,English,French,null,null,7.9,Ian Bryce,Cameron Crowe,Marty P. Ewing,Scott M. Martin,Cameron Crowe,null,null,null,DreamWorks Distribution,Columbia TriStar Egmont Film Distributors,Columbia TriStar Films AB,Columbia TriStar Films
0449573,Armand Assante,Jamie Elman,Razvan Vasilescu,Maria Dinulescu,Liviu Marghidan,null,null,null,Luminita Lungu,Carmen Stefan,null,null,Cristian Nemescu,null,null,null,Catalin Cristutiu,null,null,null,Comedy,Drama,War,null,English,Romanian,Spanish,Italian,7.9,Dan Badea,Andrei Boncea,Calin Furtunescu,Iuliana Tarnovetchi,Catherine Linstrum,Cristian Nemescu,Tudor Voican,null,Benelux Film Distributors,Bodega Films,Filmmuseum Distributie,IFC Films
0042208,Sterling Hayden,Louis Calhern,Jean Hagen,James Whitmore,Harold Rosson,null,null,null,Joan Joseff,null,null,null,John Huston,null,null,null,George Boemler,null,null,null,Crime,Film-Noir,Drama,null,English,German,null,null,7.9,Arthur Hornblow Jr.,null,null,null,Ben Maddow,John Huston,W.R. Burnett,null,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM)
0035015,Joseph Cotten,Dolores Costello,Anne Baxter,Tim Holt,Stanley Cortez,Jack MacKenzie,Orson Welles,null,Edward Stevenson,Claire Cramer,Earl Leas,Margaret Van Horn,Orson Welles,Fred Fleck,Robert Wise,null,Robert Wise,Jack Moss,Mark Robson,null,Drama,Romance,null,null,English,null,null,null,7.9,Jack Moss,George Schaefer,Orson Welles,null,Booth Tarkington,Orson Welles,Joseph Cotten,Jack Moss,RKO Radio Pictures,RKO Radio Pictures Argentina,C&C Television Corporation,"Nostalgia Merchant, The"
0039420,Gene Tierney,Rex Harrison,George Sanders,Edna Best,Charles Lang,null,null,null,Oleg Cassini,Charles Le Maire,Sam Benson,null,Joseph L. Mankiewicz,null,null,null,Dorothy Spencer,null,null,null,Drama,Fantasy,Mystery,Romance,English,null,null,null,7.9,Fred Kohlmar,null,null,null,Philip Dunne,R.A. Dick,null,null,Twentieth Century Fox Film Corporation,20th Century Fox,National Telefilm Associates (NTA),Fox Films
0107943,John Haycraft,Christopher Reeve,Anthony Hopkins,Emma Thompson,Tony Pierce-Roberts,null,null,null,Jill Avery,Victoria Harwood,Sue Honeybourne,Adrian Simmons,James Ivory,null,null,null,Andrew Marcus,null,null,null,Drama,Romance,null,null,English,French,German,null,7.9,Paul Bradley,John Calley,Ismail Merchant,Mike Nichols,Kazuo Ishiguro,Ruth Prawer Jhabvala,null,null,Columbia Pictures,Columbia TriStar Home Video,Columbia TriStar Home Video,Columbia TriStar Home Video
0097441,Matthew Broderick,Denzel Washington,Cary Elwes,Morgan Freeman,Freddie Francis,null,null,null,Frank Perry Rose,Paul A. Simmons Jr.,Betty Jean Slater,Layne Brightwell,Edward Zwick,null,null,null,Steven Rosenblum,null,null,null,Drama,History,War,null,English,null,null,null,7.9,Pieter Jan Brugge,Sarah Caplan,Freddie Fields,P.K. Fields,Kevin Jarre,Lincoln Kirstein,Peter Burchard,Robert Gould Shaw,TriStar Pictures,Columbia Pictures Corporation,Columbia TriStar Films,Columbia TriStar Films
