id,cast,cinematographer,costume department,director,editor,genres,language,rating,producer,writer,distributor
0043120,Red Skelton,Paul Vogel,Gertrude Kirkwood,Jack Donohue,John Faure,Comedy,English,6.2,Harry Ruskin,Marshall Neilan Jr,Metro-Goldwyn-Mayer (MGM)
0043069,Roy Rogers,Jack A. Marta,Adele Palmer,William Witney,Tony Martinelli,Western,English,6.2,Edward J. White,Gerald Geraghty,Republic Pictures (I)
0037620,Warner Baxter,L. William O'Connell,null,George Sherman,Dwight Caldwell,Mystery,English,6.2,Rudolph C. Flothow,Max Marcin,Columbia Pictures
2126355,Dwayne Johnson,Steve Yedlin,Mallory Bradley,Brad Peyton,Bob Ducsay,Action,English,6.1,Bruce Berman,Carlton Cuse,Geo Films
0109303,Jeff Bridges,Peter Levy,Wayne Allen,Stephen Hopkins,Tim Wellburn,Action,English,6.1,Joe Batteer,John Rice,Metro-Goldwyn-Mayer (MGM)
1451632,Domhnall Gleeson,Benito Strangio,Nura Awaleh,Tom Hall,Nathan Nugent,Comedy,English,6.1,Cathleen Dore,Tom Hall,Cinemax
2333408,Edward Herrmann,Airk Thaughbaer,Annie Auernig,John Lyde,Airk Thaughbaer,Drama,English,6.3,Ron Brough,Linda Bethers,Covenant Communication
0117276,Paul Rudd,Edward J. Pei,Denee Anderson,Jason Bloom,Luis Colina,Romance,English,6.1,Roger Birnbaum,Marc Sedaka,New Line Cinema
1622547,Jesse Eisenberg,Jess Hall,Virginia Burton,Ruben Fleischer,Alan Baumgarten,Action,English,6.1,Stuart Cornfeld,Michael Diliberti,Columbia Pictures
0106233,Shane McDermott,Daryn Okada,Elana C. Fisher,Rob Bowman,Harry B. Miller III,Adventure,English,6.1,Bruce Davey,Bill Apablasa,Toho-Towa
1772270,Michelle Nolden,Pierre Milon,Jenn Burton,Laurent Cantet,Robin Campillo,Crime,English,6.2,Simon Arnal,Robin Campillo,Haut et Court
0069044,Trish Van Devere,Michel Hugo,Dina Joseph,Mel Stuart,David Saxon,Drama,English,6.1,Stan Margulies,David Seltzer,Metro-Goldwyn-Mayer (MGM)
0281190,Ky-Mani Marley,Cliff Charles,null,Cess Silvera,Danny Saphire,Action,English,6.2,Destiny Danny Campbell,Cess Silvera,Destination Films
0074477,Jerri Hayes,Stephen L. Posey,null,Jamaa Fanaka,Robert Fitzgerald,Drama,English,6.1,Jamaa Fanaka,Jamaa Fanaka,PRO International Pictures
0109297,Madeleine Stowe,Dante Spinotti,Gloria Coffey-Sharrieff,Michael Apted,Rick Shaine,Crime,English,6.1,David Blocker,Dana Stevens,New Line Cinema
0091159,Michael Keaton,Donald Peterman,Thomas C. Dickason,Ron Howard,Daniel P. Hanley,Comedy,English,6.1,Deborah Blum,Edwin Blum,National Broadcasting Company (NBC)
0026385,James Cagney,Sol Polito,Eugene Joseff,Lloyd Bacon,Owen Marks,Adventure,English,6.1,Samuel Bischoff,Warren Duff,Warner Bros.
1139282,Jon Hamm,Andy Steinman,Echo Brooks,Anders Anderson,Gary Mau,Crime,English,6.1,Anders Anderson,Glenn Taranto,Blue Sky Media
0026055,Joe E. Brown,Arthur L. Todd,null,Ray Enright,Thomas Pratt,Comedy,English,6.1,Edward Chodorov,Ring Lardner,Warner Bros.
0037776,Edward Arnold,Lester White,Eugene Joseff,Richard Whorf,George Hively,Mystery,English,6.1,Robert Sisk,George Harmon Coxe,Metro-Goldwyn-Mayer (MGM)
0947802,Samuel L. Jackson,Rogier Stoffers,Anita Louise Brown,Neil LaBute,Joel Plotch,Crime,English,6.1,John Cameron,David Loughery,20th Century Fox
0044599,Marge Champion,William V. Skall,null,Robert Z. Leonard,Adrienne Fazan,Musical,English,6.1,George Wells,Ruth Brooks Flippen,Metro-Goldwyn-Mayer (MGM)
1700845,Felicity Jones,Rob Hardy,Jennifer Alford,Ralph Fiennes,Nicolas Gaster,Biography,English,6.1,Maya Amsellem,Abi Morgan,Lionsgate
0059678,George Maharis,Robert Surtees,Wesley Jeffries,John Sturges,Ferris Webster,Sci-Fi,English,6.1,John Sturges,Alistair MacLean,United Artists
0216569,Grace Phillips,Keith Holland,null,John Newcombe,Scott Popjes,Comedy,English,6.1,Lauralee Farrer,John Hines,Heartland Film Festival
0310357,Crispin Glover,Robert McLachlan,Laurie Giles,Glen Morgan,James Coblentz,Drama,English,6.1,Richard Brener,Glen Morgan,New Line Cinema
0027954,Miriam Hopkins,Charles Rosher,Eugene Joseff,Walter Reisch,Henry Cornelius,Drama,English,6.1,Alexander Korda,Walter Reisch,United Artists Corporation
0030743,Joan Crawford,George J. Folsey,Dolly Tree,Frank Borzage,Frank E. Hull,Drama,English,6.1,Joseph L. Mankiewicz,Jane Murfin,Metro-Goldwyn-Mayer (MGM)
0120510,Joseph Cross,Adam Holender,Sue Gandy,M. Night Shyamalan,Andrew Mondshein,Comedy,English,6.1,James Bigwood,M. Night Shyamalan,Buena Vista International
0055977,Leslie Phillips,Reginald H. Wyer,Morris Angel,Ken Annakin,Ralph Sheldon,Comedy,English,6.1,Leslie Parkyn,Keble Howard,J. Arthur Rank Film Distributors
0057067,Kirk Douglas,Clifford Stine,Dolly Derderian,Michael Gordon,Alma Macrorie,Comedy,English,6.1,Robert Arthur,Larry Markes,Universal Pictures
1703199,Ben Wilkinson,Tony Mirza,Jessica Jeffery,Colin Minihan,Colin Minihan,Horror,English,6.1,Shawn Angelski,Brothers The Vicious,Albatros Film
0102317,Tatum O'Neal,Makoto Watanabe,Peter McIver,Jane Spencer,Ernie Fritz,Drama,English,6.1,Lowell D. Blank,Anthony Brito,Monument Films
0051088,Robert Taylor,George J. Folsey,Helen Rose,Richard Thorpe,Ben Lewis,Crime,English,6.1,Edwin H. Knopf,Charles Lederer,Metro-Goldwyn-Mayer (MGM)
2056771,Dakota Johnson,Yorick Le Saux,Saskia Irrgang,Luca Guadagnino,Walter Fasano,Crime,English,6.2,Michael Costigan,David Kajganich,Lucky Red
0142804,Christopher Lambert,Jonathan Freeman,Kim W. Chow,Russell Mulcahy,Gordon McClellan,Crime,English,6.1,Howard Baldwin,Brad Mirman,Eagle Entertainment
0225499,Jennifer Schwartz,David Markey,null,David Markey,David Markey,Comedy,English,6.2,David Markey,Jennifer Schwartz,Music Video Distributors (MVD)
